Country_Name,Week_Ending_Date,Net_Cash_Flow,Operating_Cash_Flow,Financing_Cash_Flow
ID,2025-01-05,-7287.13095,-7288.4106,0.0
ID,2025-01-12,-11488.45084,-10990.56054,0.0
ID,2025-01-19,-17737.45698,-17529.16706,0.0
ID,2025-01-26,-9078.43305,-9098.7523,0.0
ID,2025-02-02,-10682.43288,-11082.71006,0.0
ID,2025-02-09,-17695.42114,-17266.38491,0.0
ID,2025-02-16,-19014.71557,-17601.64606,0.0
ID,2025-02-23,-7069.00291,-7069.00291,0.0
ID,2025-03-02,-15308.061599999999,-15275.33566,0.0
ID,2025-03-09,-11743.40561,-11382.22119,0.0
ID,2025-03-16,-9886.997089999999,-9896.76562,0.0
ID,2025-03-23,-21413.53028,-20585.53912,0.0
ID,2025-03-30,-10343.65696,-11434.0667,0.0
ID,2025-04-06,-13054.38744,-13054.38744,0.0
ID,2025-04-13,-9835.76007,-9855.60421,0.0
ID,2025-04-20,-18663.30296,-17892.55352,0.0
ID,2025-04-27,-8335.0811,-8358.86829,0.0
ID,2025-05-04,-9247.21872,-9284.60325,0.0
ID,2025-05-11,-15582.3902,-15047.897289999999,0.0
ID,2025-05-18,-9963.12817,-9978.08283,0.0
ID,2025-05-25,-6309.27004,-6326.2456,0.0
ID,2025-06-01,-11958.36534,-11999.94367,0.0
ID,2025-06-08,-2967.2959,-2969.49562,0.0
ID,2025-06-15,-15266.22381,-15283.54851,0.0
ID,2025-06-22,-4769.29392,-4769.94936,0.0
ID,2025-06-29,-21986.55344,-21564.37344,0.0
ID,2025-07-06,-7373.93089,-5912.95075,0.0
ID,2025-07-13,-12329.53867,-12410.41499,0.0
ID,2025-07-20,-14346.15242,-14381.75411,0.0
ID,2025-07-27,-16552.442469999998,-15816.870499999999,0.0
ID,2025-08-03,-7914.30034,-7927.588299999999,0.0
ID,2025-08-10,-15718.06347,-15767.15157,0.0
ID,2025-08-17,-12515.31333,-12616.40171,0.0
ID,2025-08-24,-10660.39338,-10677.42002,0.0
ID,2025-08-31,-13687.83772,-13271.56302,0.0
ID,2025-09-07,-12945.5423,-11696.32648,0.0
ID,2025-09-14,-18550.45452,-18231.29491,0.0
ID,2025-09-21,-11398.50268,-11258.64286,0.0
ID,2025-09-28,-13568.86391,-13583.98561,0.0
ID,2025-10-05,-14601.42,-13784.95437,0.0
ID,2025-10-12,-13601.80282,-13512.08739,0.0
ID,2025-10-19,-13300.84675,-12469.56936,0.0
ID,2025-10-26,-18561.71174,-18159.85776,0.0
ID,2025-11-02,-9379.78894,-8460.55894,0.0
KR,2025-01-05,-11295.58924,-11667.05924,0.0
KR,2025-01-12,-18213.496329999998,-18185.75775,0.0
KR,2025-01-19,-13682.45082,-13718.25691,0.0
KR,2025-01-26,-14606.036830000001,-14606.55506,0.0
KR,2025-02-02,-1283.95395,-1908.0939500000002,0.0
KR,2025-02-09,-10257.08307,-10249.455030000001,0.0
KR,2025-02-16,-21669.60356,-22156.23113,0.0
KR,2025-02-23,-21064.29898,-21341.2779,0.0
KR,2025-03-02,-16811.21634,-17140.454,0.0
KR,2025-03-09,-11161.03798,-11180.67265,0.0
KR,2025-03-16,-13599.32509,-13566.90064,0.0
KR,2025-03-23,-22434.82644,-22433.18248,0.0
KR,2025-03-30,-8745.29958,-8802.15205,0.0
KR,2025-04-06,-17392.91106,-17398.46881,0.0
KR,2025-04-13,-7652.87271,-7647.21894,0.0
KR,2025-04-20,-15012.9568,-15699.08463,0.0
KR,2025-04-27,-18250.08282,-18335.96924,0.0
KR,2025-05-04,-12446.51605,-11775.68605,-670.83
KR,2025-05-11,-12183.09594,-12190.31959,0.0
KR,2025-05-18,-12049.74133,-12069.185950000001,0.0
KR,2025-05-25,-23645.742879999998,-23633.6046,0.0
KR,2025-06-01,-1673.96101,-1762.9903299999999,-831.83
KR,2025-06-08,-12115.92964,-12115.92964,0.0
KR,2025-06-15,-14640.767,-14607.196,0.0
KR,2025-06-22,-20031.94611,-20030.14451,0.0
KR,2025-06-29,-24086.88812,-24115.76918,0.0
KR,2025-07-06,-6205.94025,-6204.251249999999,0.0
KR,2025-07-13,-22523.34345,-22500.32987,0.0
KR,2025-07-20,-15274.98603,-15289.83077,0.0
KR,2025-07-27,-20507.900279999998,-21337.36294,0.0
KR,2025-08-03,-3024.29453,-3464.6580700000004,0.0
KR,2025-08-10,-18840.96265,-18817.78202,0.0
KR,2025-08-17,-6459.08877,-6446.80627,0.0
KR,2025-08-24,-16473.06314,-16471.48674,0.0
KR,2025-08-31,-11780.78113,-12473.84971,0.0
KR,2025-09-07,-8741.32495,-8821.10485,0.0
KR,2025-09-14,-12896.21155,-12861.4802,0.0
KR,2025-09-21,-12064.93357,-13003.25973,0.0
KR,2025-09-28,-26928.18279,-28092.97009,-378.8
KR,2025-10-05,-1385.14284,-1720.56096,0.0
KR,2025-10-12,-20908.66286,-20869.70064,0.0
KR,2025-10-19,-18209.94343,-18613.44081,0.0
KR,2025-10-26,-20502.86977,-20975.99,0.0
KR,2025-11-02,-935.63669,-1493.57669,0.0
MY,2025-01-05,-2709.942,-2955.14866,0.0
MY,2025-01-12,-7638.89948,-7644.16423,0.0
MY,2025-01-19,-5808.00139,-5862.11296,0.0
MY,2025-01-26,-5017.70807,-5027.7070699999995,0.0
MY,2025-02-02,-10276.637709999999,-10222.56455,-55.1189
MY,2025-02-09,-10393.93445,-10403.71847,0.0
MY,2025-02-16,-4436.73129,-4584.18053,0.0
MY,2025-02-23,-7251.50591,-7253.80451,0.0
MY,2025-03-02,-12078.34388,-12174.66388,-91.46
MY,2025-03-09,-7839.41842,-7928.73726,0.0
MY,2025-03-16,-7136.36078,-7126.20053,0.0
MY,2025-03-23,-7050.65377,-7061.22501,0.0
MY,2025-03-30,-5671.98612,-5671.98612,0.0
MY,2025-04-06,-7934.14047,-7703.07007,-239.3
MY,2025-04-13,-3499.66362,-3691.94027,0.0
MY,2025-04-20,-14611.68507,-15901.33461,0.0
MY,2025-04-27,-2972.08771,-3000.5968,0.0
MY,2025-05-04,-11668.55911,-10835.20911,-833.35
MY,2025-05-11,-6674.09096,-6661.03421,0.0
MY,2025-05-18,-7927.57706,-7927.57706,0.0
MY,2025-05-25,-7908.46752,-7908.46752,0.0
MY,2025-06-01,-5538.88689,-5547.49106,0.0
MY,2025-06-08,-11904.28545,-11915.189409999999,0.0
MY,2025-06-15,-8514.46598,-8849.94299,0.0
MY,2025-06-22,-5215.04983,-5550.51983,0.0
MY,2025-06-29,-7421.17586,-7421.17586,0.0
MY,2025-07-06,-8591.344079999999,-8865.59123,0.0
MY,2025-07-13,-10321.691710000001,-10926.85373,0.0
MY,2025-07-20,-7512.05932,-7960.06709,0.0
MY,2025-07-27,-8809.64775,-8409.92455,0.0
MY,2025-08-03,-8382.28958,-8420.99949,0.0
MY,2025-08-10,-8873.41729,-8972.1578,0.0
MY,2025-08-17,-13993.14626,-14054.74291,0.0
MY,2025-08-24,-10104.99035,-10547.78492,0.0
MY,2025-08-31,-8513.79553,-8523.3212,0.0
MY,2025-09-07,-12573.39994,-12831.66094,0.0
MY,2025-09-14,-9168.11213,-9151.94607,0.0
MY,2025-09-21,-6678.87932,-6763.64932,0.0
MY,2025-09-28,-10217.60423,-10429.08586,0.0
MY,2025-10-05,-9920.00792,-9996.66104,0.0
MY,2025-10-12,-10106.65378,-10133.1553,0.0
MY,2025-10-19,-7329.2836,-7329.2836,0.0
MY,2025-10-26,-10368.06258,-10395.72774,0.0
MY,2025-11-02,-5634.97732,-5839.27947,0.0
PH,2025-01-05,-11106.28559,-10832.8163,0.0
PH,2025-01-12,-8715.84932,-9158.9634,0.0
PH,2025-01-19,-12225.22911,-12638.95832,0.0
PH,2025-01-26,-8400.44372,-8288.2749,0.0
PH,2025-02-02,-10750.76254,-10401.37678,0.0
PH,2025-02-09,-12388.54075,-11460.63337,0.0
PH,2025-02-16,-14233.85368,-13769.28173,0.0
PH,2025-02-23,-15319.38313,-14792.718209999999,0.0
PH,2025-03-02,-10851.73039,-10515.19718,0.0
PH,2025-03-09,-10724.2697,-9545.67302,0.0
PH,2025-03-16,-13998.41375,-13985.76651,0.0
PH,2025-03-23,-13952.51955,-12308.43611,0.0
PH,2025-03-30,-5618.76946,-5936.95964,-38.51111
PH,2025-04-06,-7594.3117,-8010.47764,0.0
PH,2025-04-13,-8578.83629,-7960.55904,0.0
PH,2025-04-20,-13870.98048,-13577.74352,0.0
PH,2025-04-27,-10199.87751,-9395.61284,0.0
PH,2025-05-04,-12298.17047,-11972.478079999999,-324.94
PH,2025-05-11,-12185.44402,-11948.045180000001,0.0
PH,2025-05-18,-15044.77139,-13250.758469999999,0.0
PH,2025-05-25,-12952.69032,-12685.69339,0.0
PH,2025-06-01,-18860.63599,-18857.47673,0.0
PH,2025-06-08,-11597.09519,-10724.3846,-397.25
PH,2025-06-15,-14582.22694,-13003.99079,0.0
PH,2025-06-22,-12052.4768,-12000.2799,0.0
PH,2025-06-29,-6667.9723699999995,-6686.40613,-35.75817
PH,2025-07-06,-13162.9157,-11637.6984,0.0
PH,2025-07-13,-9643.189849999999,-7839.04709,0.0
PH,2025-07-20,-12146.28908,-11020.39422,0.0
PH,2025-07-27,-17485.39218,-14598.28536,-26.825720000000004
PH,2025-08-03,-15259.75117,-14751.30497,0.0
PH,2025-08-10,-11089.096880000001,-9833.92053,0.0
PH,2025-08-17,-13976.25065,-12899.88177,0.0
PH,2025-08-24,-9304.92999,-8402.64916,0.0
PH,2025-08-31,-17146.01069,-16491.52901,-51.986279999999994
PH,2025-09-07,-13510.445319999999,-11739.54989,-216.06
PH,2025-09-14,-21643.01659,-20497.66884,0.0
PH,2025-09-21,-10523.61205,-10393.97352,0.0
PH,2025-09-28,-10364.69682,-10997.76626,-25.69952
PH,2025-10-05,-15955.67696,-16149.45159,927.81304
PH,2025-10-12,-8338.76997,-8186.84521,0.0
PH,2025-10-19,-11727.80566,-10709.32141,0.0
PH,2025-10-26,-17057.69606,-16421.14018,0.0
PH,2025-11-02,-8459.64974,-8203.62587,0.0
SS,2025-01-05,-416.1808,-416.1808,0.0
SS,2025-01-12,-2746.73044,-2928.86477,0.0
SS,2025-01-19,-1937.01934,-1980.9857200000001,0.0
SS,2025-01-26,-1245.42769,-1250.9016900000001,0.0
SS,2025-02-02,-2490.73145,-3119.3231,0.0
SS,2025-02-09,-2729.90869,-2814.65563,0.0
SS,2025-02-16,-1924.56441,-1926.32707,0.0
SS,2025-02-23,-3621.20386,-3621.20386,0.0
SS,2025-03-02,-1590.92385,-1703.1462099999999,0.0
SS,2025-03-09,-4797.0721300000005,-4797.0721300000005,0.0
SS,2025-03-16,-1225.2801,-1216.05346,0.0
SS,2025-03-23,-1116.24803,-1116.24803,0.0
SS,2025-03-30,-2243.68256,-3001.65088,0.0
SS,2025-04-06,-1519.52138,-1572.08491,0.0
SS,2025-04-13,-1785.81562,-1775.86282,0.0
SS,2025-04-20,-1877.20842,-1897.7951,0.0
SS,2025-04-27,-1336.51229,-1380.86206,0.0
SS,2025-05-04,-2415.9511700000003,-2415.9511700000003,0.0
SS,2025-05-11,-3047.9084000000003,-3226.59368,0.0
SS,2025-05-18,-1879.3136200000001,-1981.80397,0.0
SS,2025-05-25,-930.92724,-1602.84338,0.0
SS,2025-06-01,-3449.16177,-3680.66669,0.0
SS,2025-06-08,-2530.23689,-2684.39887,0.0
SS,2025-06-15,-2140.53579,-2153.06135,0.0
SS,2025-06-22,548.47827,-317.46315,0.0
SS,2025-06-29,-820.96059,-823.57175,0.0
SS,2025-07-06,-3879.72897,-3881.57315,0.0
SS,2025-07-13,-2347.57261,-2400.6995699999998,0.0
SS,2025-07-20,-436.42931,-464.26315999999997,0.0
SS,2025-07-27,-1806.40866,-2201.05886,0.0
SS,2025-08-03,-2580.37897,-2591.9508100000003,0.0
SS,2025-08-10,-1876.19059,-1944.18671,0.0
SS,2025-08-17,-2848.9184,-2841.4592,0.0
SS,2025-08-24,165.72635000000002,-164.90364999999997,0.0
SS,2025-08-31,-4338.4045,-4332.60122,0.0
SS,2025-09-07,-3262.10023,-3342.78051,0.0
SS,2025-09-14,-1136.7499,-1212.11178,0.0
SS,2025-09-21,-624.22349,-624.22349,0.0
SS,2025-09-28,-1920.65663,-1915.39319,0.0
SS,2025-10-05,-994.0459900000001,-1246.17195,0.0
SS,2025-10-12,-3495.63006,-3660.86136,0.0
SS,2025-10-19,-1291.26988,-1291.26988,0.0
SS,2025-10-26,-1856.43861,-1850.43289,0.0
SS,2025-11-02,-598.98635,-610.2470800000001,0.0
TH,2025-01-05,-1700.6583600000001,-1702.17341,0.0
TH,2025-01-12,-10764.61298,-10706.68997,0.0
TH,2025-01-19,-7616.33397,-7630.98362,0.0
TH,2025-01-26,-10154.31653,-10156.62985,0.0
TH,2025-02-02,-9509.02181,-9512.89492,0.0
TH,2025-02-09,-6881.1251600000005,-6782.07478,0.0
TH,2025-02-16,-15730.71984,-15722.728729999999,0.0
TH,2025-02-23,-10234.57567,-9716.9452,0.0
TH,2025-03-02,-13528.29473,-10685.49314,0.0
TH,2025-03-09,-8073.26729,-8074.5404499999995,0.0
TH,2025-03-16,-6058.25674,-6056.79216,0.0
TH,2025-03-23,-8292.16082,-7602.3997899999995,0.0
TH,2025-03-30,-14690.48488,-15253.44764,0.0
TH,2025-04-06,-4710.80735,-4716.86566,0.0
TH,2025-04-13,-8147.42818,-8375.680620000001,0.0
TH,2025-04-20,-6527.90957,-6522.3909,0.0
TH,2025-04-27,-8453.22866,-6790.7037199999995,0.0
TH,2025-05-04,-5752.68819,-4739.66184,0.0
TH,2025-05-11,-16859.95738,-16768.92368,0.0
TH,2025-05-18,-7707.60358,-6527.2762,0.0
TH,2025-05-25,-13917.958480000001,-13912.68262,0.0
TH,2025-06-01,-7480.86602,-7475.94064,0.0
TH,2025-06-08,-8225.59077,-8644.38551,0.0
TH,2025-06-15,-13014.0126,-12246.03339,0.0
TH,2025-06-22,-15457.29279,-14590.88895,0.0
TH,2025-06-29,-7925.67916,-7940.40468,0.0
TH,2025-07-06,-8806.41735,-8687.83674,0.0
TH,2025-07-13,-10514.58037,-10514.45361,0.0
TH,2025-07-20,-8653.54365,-8893.68859,0.0
TH,2025-07-27,-18022.61075,-18016.19193,0.0
TH,2025-08-03,-3342.15193,-3354.08773,0.0
TH,2025-08-10,-18219.8901,-17789.38247,0.0
TH,2025-08-17,-8994.80644,-9250.558430000001,0.0
TH,2025-08-24,-12416.87989,-13342.72221,0.0
TH,2025-08-31,-10348.67385,-10682.142890000001,0.0
TH,2025-09-07,-15225.62937,-14664.02782,0.0
TH,2025-09-14,-5253.51788,-5247.20499,0.0
TH,2025-09-21,-10020.01689,-9462.62826,0.0
TH,2025-09-28,-11350.84923,-11355.82407,0.0
TH,2025-10-05,-9703.31745,-9724.521639999999,0.0
TH,2025-10-12,-10513.36494,-8697.94141,0.0
TH,2025-10-19,-9610.53075,-9606.85634,0.0
TH,2025-10-26,-12905.0041,-12910.93097,0.0
TH,2025-11-02,-5717.82795,-5762.3207600000005,0.0
TW,2025-01-05,-13018.53254,-13535.92954,0.0
TW,2025-01-12,-21754.09995,-22692.81199,0.0
TW,2025-01-19,-34586.17216,-34660.30923,0.0
TW,2025-01-26,0.0,0.0,0.0
TW,2025-02-02,-27522.6543,-26964.41697,-623.13
TW,2025-02-09,-26483.58804,-26474.8194,0.0
TW,2025-02-16,-26264.90038,-26625.81038,0.0
TW,2025-02-23,-40211.07166,-40240.096059999996,0.0
TW,2025-03-02,-28003.15239,-28163.05316,0.0
TW,2025-03-09,-26815.61701,-26976.10636,0.0
TW,2025-03-16,-9602.84819,-10450.39819,0.0
TW,2025-03-23,-17754.62148,-17381.065,-386.47
TW,2025-03-30,-23077.02426,-23911.00346,0.0
TW,2025-04-06,-29846.43817,-29857.84677,0.0
TW,2025-04-13,-10661.47113,-10641.41404,0.0
TW,2025-04-20,-22949.754,-22954.90138,0.0
TW,2025-04-27,-23707.85234,-23705.26225,0.0
TW,2025-05-04,-12452.053820000001,-13188.96235,0.0
TW,2025-05-11,-23857.63826,-23835.32184,0.0
TW,2025-05-18,-29871.23485,-30788.06199,0.0
TW,2025-05-25,-25677.46705,-25901.91273,-462.95
TW,2025-06-01,-18339.55305,-18471.75172,0.0
TW,2025-06-08,-20509.23074,-20868.71445,0.0
TW,2025-06-15,-17777.28903,-18766.66053,0.0
TW,2025-06-22,-37151.37966,-37340.13966,-286.97
TW,2025-06-29,-16757.70842,-16923.29456,0.0
TW,2025-07-06,-23925.81657,-24364.1503,0.0
TW,2025-07-13,-21328.91511,-22637.47514,0.0
TW,2025-07-20,-19258.18506,-19723.93644,0.0
TW,2025-07-27,-39126.1641,-39987.23511,-171.41
TW,2025-08-03,-20973.36801,-21034.38367,0.0
TW,2025-08-10,-38570.17021,-38558.37684,0.0
TW,2025-08-17,-19623.3302,-19623.9166,0.0
TW,2025-08-24,-26411.09236,-26085.49468,-851.61
TW,2025-08-31,-24296.93032,-24860.96432,0.0
TW,2025-09-07,-34162.63186,-35774.92579,0.0
TW,2025-09-14,-17700.3915,-17729.727,0.0
TW,2025-09-21,-24334.77566,-24302.70758,-32.06808
TW,2025-09-28,-27888.18042,-27955.18618,0.0
TW,2025-10-05,-15579.69849,-15552.31594,0.0
TW,2025-10-12,-28847.53228,-28881.26226,0.0
TW,2025-10-19,-18814.88896,-18959.44476,0.0
TW,2025-10-26,-37864.38998,-37090.6795,-756.82
TW,2025-11-02,-13459.59754,-13471.3321,0.0
VN,2025-01-05,-10354.93683,-11231.18053,0.0
VN,2025-01-12,-6196.2785699999995,-6210.43082,0.0
VN,2025-01-19,-25529.98346,-25563.42001,0.0
VN,2025-01-26,0.0,0.0,0.0
VN,2025-02-02,-12704.27439,-12814.29531,0.0
VN,2025-02-09,-14172.81933,-14165.4205,0.0
VN,2025-02-16,-7724.5916,-8293.77613,0.0
VN,2025-02-23,-9011.26726,-11422.57988,2339.1380599999998
VN,2025-03-02,-10863.91066,-12260.59955,1206.43018
VN,2025-03-09,-12921.6936,-12907.68852,0.0
VN,2025-03-16,-6443.53296,-6469.07846,0.0
VN,2025-03-23,-17066.47297,-17062.47794,0.0
VN,2025-03-30,-14836.98424,-14813.65135,0.0
VN,2025-04-06,-4217.05457,-4309.54486,0.0
VN,2025-04-13,-4641.83057,-4727.52071,0.0
VN,2025-04-20,-13665.41275,-13840.86063,0.0
VN,2025-04-27,-11806.8366,-13814.09991,0.0
VN,2025-05-04,-10246.10675,-10313.82192,0.0
VN,2025-05-11,-11946.58661,-12057.11994,0.0
VN,2025-05-18,-10860.75731,-11603.92474,0.0
VN,2025-05-25,-14451.12942,-16125.12704,0.0
VN,2025-06-01,-4012.10277,-5577.0256,-7.54464
VN,2025-06-08,-18641.22647,-18625.16223,0.0
VN,2025-06-15,-11539.81357,-12507.59258,0.0
VN,2025-06-22,-14558.92358,-15149.42093,0.0
VN,2025-06-29,-9033.6741,-9006.02291,0.0
VN,2025-07-06,-8563.19116,-8629.56123,0.0
VN,2025-07-13,-14942.90875,-15415.33814,0.0
VN,2025-07-20,-10681.44423,-10689.75309,0.0
VN,2025-07-27,-15391.85349,-15423.12977,0.0
VN,2025-08-03,-12306.70358,-12516.91509,0.0
VN,2025-08-10,-7638.56811,-7641.59006,0.0
VN,2025-08-17,-19094.15989,-19138.77153,0.0
VN,2025-08-24,-12814.2432,-12851.0548,0.0
VN,2025-08-31,-18053.97041,-18197.9465,0.0
VN,2025-09-07,-7463.02643,-7521.38505,0.0
VN,2025-09-14,-15382.22509,-16166.32638,0.0
VN,2025-09-21,-14041.67811,-14027.68908,0.0
VN,2025-09-28,-7602.51355,-7583.65412,0.0
VN,2025-10-05,-14719.17205,-14722.43601,0.0
VN,2025-10-12,-13568.62369,-13887.71538,0.0
VN,2025-10-19,-15673.3025,-18291.2796,0.0
VN,2025-10-26,-21355.37938,-21951.95723,0.0
VN,2025-11-02,-5891.50573,-7621.78238,0.0
